temperature,ph,dissolved_oxygen,fish_density,risk
25,6.96,4.72,medium,low
30,7.96,7.68,high,low
34,5.55,7.84,low,high
34,7.87,6.86,high,high
28,5.29,6.73,low,high
31,5.57,6.18,high,high
30,7.38,3.23,low,high
34,6.64,7.62,medium,high
35,6.57,7.82,high,high
32,7.52,5.8,high,low
29,6.07,2.37,high,high
35,7.02,3.84,medium,high
25,7.49,5.62,low,low
27,7.94,7.46,low,low
31,5.25,4.12,medium,high
26,7.53,6.73,high,low
25,7.73,6.82,high,low
33,6.38,4.37,high,high
25,5.82,6.1,high,high
30,7.41,5.63,medium,low
27,5.8,3.52,low,high
31,7.98,7.54,high,low
30,7.17,3.35,medium,high
35,5.35,6.62,high,high
26,6.77,2.88,medium,high
35,6.64,3.83,high,high
30,7.19,6.72,medium,low
31,7.45,7.91,high,low
30,5.43,3.37,low,high
28,5.67,4.33,medium,high
26,6.18,5.43,high,low
29,6.42,7.49,medium,low
25,6.89,3.3,low,high
34,6.89,6.91,medium,high
28,6.64,7.66,high,low
31,6.68,4.98,medium,low
30,7.82,7.48,high,low
31,5.02,7.95,low,high
34,7.63,2.31,medium,high
28,6.01,5.49,low,low
34,7.93,6.87,low,high
33,6.63,3.43,high,high
25,6.03,7.56,low,low
35,7.74,3.71,high,high
34,6.83,2.72,medium,high
28,5.14,7.0,medium,high
25,5.81,5.74,medium,high
26,7.42,2.19,medium,high
26,7.05,4.08,medium,low
35,6.53,7.02,low,high
34,5.18,6.66,low,high
27,5.55,5.4,high,high
32,5.17,6.39,low,high
31,7.74,2.34,low,high
30,5.49,3.75,low,high
34,7.47,3.38,high,high
25,7.7,4.22,medium,low
35,6.18,4.05,medium,high
35,7.26,2.23,high,high
35,5.39,2.39,high,high
27,7.76,7.57,medium,low
32,7.7,4.86,low,low
27,5.3,7.61,low,high
28,7.37,5.53,high,low
29,5.7,3.58,low,high
35,6.25,3.26,low,high
33,6.65,4.39,high,high
32,5.74,2.32,medium,high
35,5.9,6.22,high,high
30,5.51,3.96,medium,high
29,7.13,5.72,medium,low
25,7.64,2.09,low,high
26,6.07,3.04,medium,high
35,6.1,5.54,low,high
27,7.01,5.94,low,low
29,7.11,3.63,high,high
26,7.36,6.62,low,low
33,6.07,2.55,low,high
25,5.19,4.02,medium,high
30,7.75,2.4,low,high
27,7.69,5.75,medium,low
26,5.36,6.06,high,high
27,6.37,7.94,high,low
30,5.73,5.74,medium,high
25,6.68,6.28,medium,low
28,6.98,3.44,low,high
31,5.77,6.96,medium,high
25,7.0,3.5,low,high
31,6.35,2.95,high,high
28,7.39,2.19,low,high
32,6.05,3.05,medium,high
34,5.52,2.91,high,high
25,5.24,2.88,low,high
28,5.5,6.23,low,high
35,5.95,5.75,low,high
35,5.59,2.25,high,high
28,7.94,7.51,medium,low
31,6.96,7.62,low,low
25,7.22,4.69,low,low
26,6.03,7.45,low,low
27,5.07,5.39,medium,high
30,5.1,5.39,high,high
29,5.92,3.36,medium,high
30,5.2,6.54,low,high
33,6.22,4.44,high,high
28,7.14,7.05,high,low
26,7.65,7.0,medium,low
32,6.96,3.58,low,high
29,7.99,4.01,low,low
27,6.16,2.29,low,high
32,7.81,6.18,medium,low
25,6.87,2.17,high,high
32,7.43,5.87,high,low
35,5.16,4.04,medium,high
32,5.6,6.63,high,high
29,5.7,4.37,low,high
27,7.94,3.7,medium,high
35,6.93,7.01,medium,high
34,7.18,5.91,high,high
31,5.78,2.45,medium,high
